# Single SKU Max Power Table
#   OFDM 6 ~ 54              | |                       HT20 MCS 0 ~ 15                       | |                   HT40 MCS 0 ~ 15                             | |               VHT80 MCS 0 ~ 9             |
ch36 17 17 17 16 16 15 15 15 17 17 16 16 15 15 14 14 17 17 16 16 15 15 14 14 17 17 16 16 15 15 14 14 17 17 16 16 15 15 14 14 17 17 17 16 16 16 15 14 13 13 
ch38 17 17 17 16 16 15 15 15 17 17 16 16 15 15 14 14 17 17 16 16 15 15 14 14 17 17 16 16 15 15 14 14 17 17 16 16 15 15 14 14 17 17 17 16 16 16 15 14 13 13
ch40 17 17 17 16 16 15 15 15 17 17 16 16 15 15 14 14 17 17 16 16 15 15 14 14 17 17 16 16 15 15 14 14 17 17 16 16 15 15 14 14 17 17 17 16 16 16 15 14 13 13
ch42 17 17 17 16 16 15 15 15 17 17 16 16 15 15 14 14 17 17 16 16 15 15 14 14 17 17 16 16 15 15 14 14 17 17 16 16 15 15 14 14 17 17 17 16 16 16 15 14 13 13
ch44 17 17 17 16 16 15 15 15 17 17 16 16 15 15 14 14 17 17 16 16 15 15 14 14 17 17 16 16 15 15 14 14 17 17 16 16 15 15 14 14 17 17 17 16 16 16 15 14 13 13
ch46 17 17 17 16 16 15 15 15 17 17 16 16 15 15 14 14 17 17 16 16 15 15 14 14 17 17 16 16 15 15 14 14 17 17 16 16 15 15 14 14 17 17 17 16 16 16 15 14 13 13
ch48 17 17 17 16 16 15 15 15 17 17 16 16 15 15 14 14 17 17 16 16 15 15 14 14 17 17 16 16 15 15 14 14 17 17 16 16 15 15 14 14 17 17 17 16 16 16 15 14 13 13
ch52 15 15 15 15 15 15 15 15 15 15 15 15 14 14 14 14 15 15 15 15 14 14 14 14 15 15 15 15 14 14 14 14 15 15 15 15 14 14 14 14 14 14 14 14 14 14 14 14 13 13
ch54 15 15 15 15 15 15 15 15 15 15 15 15 14 14 14 14 15 15 15 15 14 14 14 14 15 15 15 15 14 14 14 14 15 15 15 15 14 14 14 14 14 14 14 14 14 14 14 14 13 13
ch56 15 15 15 15 15 15 15 15 15 15 15 15 14 14 14 14 15 15 15 15 14 14 14 14 15 15 15 15 14 14 14 14 15 15 15 15 14 14 14 14 14 14 14 14 14 14 14 14 13 13
ch58 15 15 15 15 15 15 15 15 15 15 15 15 14 14 14 14 15 15 15 15 14 14 14 14 15 15 15 15 14 14 14 14 15 15 15 15 14 14 14 14 14 14 14 14 14 14 14 14 13 13
ch60 15 15 15 15 15 15 15 15 15 15 15 15 14 14 14 14 15 15 15 15 14 14 14 14 15 15 15 15 14 14 14 14 15 15 15 15 14 14 14 14 14 14 14 14 14 14 14 14 13 13
ch62 15 15 15 15 15 15 15 15 15 15 15 15 14 14 14 14 15 15 15 15 14 14 14 14 15 15 15 15 14 14 14 14 15 15 15 15 14 14 14 14 14 14 14 14 14 14 14 14 13 13
ch64 15 15 15 15 15 15 15 15 15 15 15 15 14 14 14 14 15 15 15 15 14 14 14 14 15 15 15 15 14 14 14 14 15 15 15 15 14 14 14 14 14 14 14 14 14 14 14 14 13 13
ch100 19 19 18 18 17 16 16 15 19 19 18 17 16 16 15 14 19 19 18 17 16 16 15 14 18 18 17 17 16 16 15 14 18 18 17 17 16 16 15 14 17 17 17 16 16 16 15 14 13 13
